stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell
24hpf,0,0,0,0,4.09,0
72hpf,1.07,0,0,0,0,3.21
21Day,1.34,1.34,1.34,1.34,1.34,2.68
