stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,8.56,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,2.14,8.56,0,0,18.19,12.84,0,0,0,5.35,0,0,1.07,1.07,0,0
21Day,9.37,0,1.34,18.74,0,6.69,0,8.03,0,1.34,0,0,1.34,0,2.68,1.34,12.05,0,16.06,0,2.68,14.72,5.35,0,1.34,0,8.03,0,0,2.68,0,1.34,0
3Month,0,0,0,0.96,0,0,0,0,0.32,0,0,2.88,0,0.32,0.64,0,0.64,0.32,0.64,0,0,0,0,0.64,0,0,0,0.96,0.32,0,0,0,0.64
22Month,0,0.55,0.55,5.47,0.55,0,0.55,0,0,1.64,2.19,59.04,1.64,0.55,3.28,0,1.64,1.64,1.64,13.67,0.55,0.55,0,0.55,0,1.09,0,0,0.55,0,0,0,0
