stage,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Spermatocyte
24hpf,0,0,0,0,4.09,0,0
21Day,0,0,1.34,1.34,0,1.34,0
3Month,0,0.32,0,0,0,0,0.64
22Month,0.55,0,0,0,0,0,0
