stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0,1.07,0,0,0
21Day,0,9.37,4.02,1.34,0,0,0,1.34,0,1.34,5.35,6.69,0,0,0,9.37
3Month,0.64,1.28,0,0,0.32,0,1.28,0.32,0.64,1.28,1.6,0.32,0,0.64,0.32,16.96
22Month,0,0,0,0,0.55,0.55,0,0,0,0,1.64,0.55,0,0,0,5.47
