stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,4.09,0,61.3,0,0,0,0,0,0,0,0,0
72hpf,1.07,4.28,0,0,0,0,0,0,3.21,0,0,0,0,0,1.07,4.28,1.07,0,0,0,0,3.21,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0,0,2.68,1.34,0,0,0,1.34,0,0,0,0,0
3Month,36.47,0.96,0.96,2.24,8,2.24,3.52,8.64,1.92,1.28,2.88,0.64,0,0.96,1.92,3.84,0.64,0.96,0.32,1.6,33.91,0.32,0.64,0.96,452.41,0.96
22Month,10.93,0,0,0,3.83,0,1.09,0,0.55,1.09,1.09,0,0.55,0,0,0,0,0.55,0.55,0,21.32,0,0,0,4.37,0
