stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,20.43,0,36.78,4.09,0,0,0,0,0,12.26,0,0,0,0,8.17,44.95,4.09,81.73,0,0,4.09,8.17,502.63,0,8.17,0,0,4.09,0,0,0,0
72hpf,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,0,5.35,9.63,0,3.21,2.14,0,2.14,0,0,0,0
21Day,0,0,0,6.69,1.34,0,1.34,0,0,0,0,0,1.34,5.35,0,0,0,0,1.34,0,0,0,1.34,4.02,0,0,1.34,0,0,2.68,0,0,1.34
3Month,0,0.96,0.64,8,0,0,0.32,2.24,3.2,0,0,36.47,5.12,6.4,5.44,0,5.44,2.88,1.6,1.92,0.32,0.64,0.64,0,0.64,0.32,0.64,32.63,0,0.32,0.96,5.12,2.24
22Month,0,0,0,1.64,0,0.55,0,0,0,0.55,0,20.77,0,0,0.55,0,0,0,2.73,0,0,0,0.55,0,0.55,0.55,0,7.65,0,0,0.55,0,1.09
