stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,0,0,2.14,0,0,0
21Day,0,0,1.34,0,0,0,0,13.39,1.34,0,1.34,2.68,0,1.34,1.34,1.34,14.72,2.68,2.68,4.02,0,0,20.08
3Month,0.32,1.28,0,0.32,0,0,1.6,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0,0,0,21.44,0.96,3.84,1.28,6.08
22Month,0,5.47,0,0,0.55,0.55,14.21,0,0.55,0,0,0,0.55,0.55,0.55,0,0,0,2.19,2.73,0,0,2.19
