stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,49.04,0,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,8.56,1.07,0,0,0,0,0,0,0,0,0,1.07,58.84,0,23.54,0,0,3.21,0,24.61,10.7,0,22.47,0,0,1.07,0,2.14,0,0,0
21Day,2.68,0,42.83,2.68,1.34,0,0,0,0,0,0,2.68,0,1.34,29.45,0,20.08,0,0,13.39,0,18.74,1.34,2.68,10.71,5.35,0,1.34,1.34,4.02,0,0,2.68
3Month,0.32,5.44,34.23,0,0,0,0.96,0.32,0,8.96,1.92,0.32,2.24,0.32,36.79,1.92,9.28,1.28,0,1.92,2.24,1.92,0.64,0,0.32,1.6,17.6,0.64,0,0,0,3.52,0.96
22Month,0.55,6.01,13.67,0,0,0.55,1.09,3.28,3.83,46.47,0,1.09,1.09,0.55,9.29,3.83,20.77,0,0.55,1.09,1.64,2.73,0.55,0,0.55,0,7.65,3.28,0,0,1.09,0,1.64
