stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,3.21,6.42,1.07,0,0,0,2.14,767.04,1.07,7.49,1.07,19.26,16.05,1.07,6.42,0,0,0,0,0
21Day,12.05,1.34,5.35,0,1.34,0,1.34,1.34,1.34,0,342.66,1.34,4.02,0,6.69,2.68,0,2.68,2.68,0,1.34,9.37,0
3Month,0,0,0.32,0,0,0.32,0.32,0.32,0,0.64,14.4,0,0,0,0,0,0,0,0,0.64,0,0,0.32
22Month,0,0,0.55,0,0,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0,0,1.09,0,0,0
