stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,8.17,0,0,0,0,16.35,4.09,28.6,0,0,1679.51,0,0,0,0,0,0,0
72hpf,5.35,1.07,6.42,2.14,5.35,0,0,0,0,0,0,0,0,0,74.89,0,5.35,0,29.95,560.57,0,3.21,0,0,19.26,0,0
21Day,1.34,0,17.4,4.02,0,0,0,0,0,0,0,0,0,0,38.82,0,2.68,0,1.34,28.11,0,0,1.34,1.34,0,0,0
3Month,0.32,0,3.84,0.32,0,0,0.64,0.96,0,0,2.88,0.32,0.64,0.32,12.48,1.28,0.96,0,0.32,0.32,0.64,0,0.64,10.88,0,2.88,0.32
22Month,0,1.64,5.47,0,0,0.55,1.64,1.09,1.09,0,15.31,0,2.73,0,30.07,2.73,3.28,1.64,1.09,0.55,1.64,0,0,17.49,0.55,0,0.55
