stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,36.78,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.64,0,0.32,0.32,1.28,0.96,0.32,0.32,0,0,0,0,0.32,3.52,0,0,8,0.32
22Month,0,0.55,0.55,0.55,0,1.64,0,0,2.19,0,0,0,0.55,0.55,0,1.09,1.09,2.19,0,0
