stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,11.77,0,0,0,4.28,4.28,10.7,0,0,1.07,0
21Day,4.02,2.68,0,0,0,1.34,0,1.34,1.34,0,38.82,0,6.69,0,1.34,4.02,4.02,5.35,0,0,0
3Month,0.96,1.92,0,0.64,0.32,1.92,0.96,0.64,1.28,0.96,2.88,0,1.6,0.32,0.32,0,0,0.32,0.32,0,0.32
22Month,0,1.09,0,0,1.64,11.48,1.09,1.09,0,1.64,4.37,0.55,0,0,0,0,0,0,0,0,0
