stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Osteoblast,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,16.35,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0,0
3Month,0.64,0.32,0,0.64,0.64,0.64,0.32,0,2.88,0.32
22Month,0,0,2.73,0.55,0,0,0.55,0,1.09,0
