stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0
3Month,0.32,1.92,0.96,2.24,0.32,0.32,1.28,0.32,0.64,0.32,0,0.32,0,0.32,0.96,62.39,0.32,1.28,25.28,0
22Month,0.55,1.09,0.55,8.2,0,1.09,0,1.09,0.55,0,0.55,0,0.55,0,0,27.33,0,0,0,0.55
