stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,16.35,1238.18,0,8.17,0,0,0,0,8.17,69.47,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,12.84,0,0,40.65,2.14,17.12,0,0,0,1.07,0,0,0,0,0,22.47,3442.59,5.35,32.09,0,3.21,1.07,0,128.37,63.12,0,1.07,28.88,2.14,0,0,9.63,0,5.35,0,0,0
21Day,6.69,0,2.68,269.05,0,8.03,0,1.34,0,0,0,1.34,0,4.02,6.69,18.74,171.33,4.02,6.69,0,0,0,0,13.39,4.02,0,0,1.34,12.05,0,0,1.34,4.02,104.41,0,0,0
3Month,0,1.28,0,451.13,0,0,1.28,0,1.92,4.16,0.32,16.96,4.8,0.64,4.48,65.27,46.71,3.52,3.84,0.32,0,1.92,1.92,0.64,0.32,0.32,0.32,1.28,1.92,0.32,4.16,0.64,0,0,1.92,1.92,2.56
22Month,0,1.09,1.09,119.17,0,0,0,0.55,0,4.37,2.19,15.85,0,0,3.83,17.49,12.03,1.64,5.47,1.09,0,0,0,0.55,0,0.55,0,0,0,0,3.28,2.73,0.55,0.55,0,0,0
