stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0,44.95,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,4.28,12.84,1.07,12.84,0,5.35,0,0,0,0,0,4.28,0,8.56,2.14,8.56,9.63,0,3.21,0,0,4.28,18.19,1.07,0,0,9.63,0,0,5.35,0,0,3.21,0,0,0
21Day,8.03,1.34,65.59,2.68,68.27,0,87,0,2.68,0,6.69,4.02,186.06,2.68,10.71,6.69,28.11,62.91,0,0,10.71,0,21.42,30.79,4.02,0,0,6.69,8.03,1.34,8.03,1.34,2.68,1.34,0,0,46.85
3Month,0.32,4.16,37.11,0,0,1.92,2.56,0.64,7.04,0,98.86,4.16,5.76,5.12,3.52,6.08,12.16,9.6,2.88,0.32,1.92,1.6,0,0.32,0.32,1.28,0,0,4.16,4.8,0.32,0,0,0,3.52,2.24,46.71
22Month,0.55,10.39,14.21,0,0,1.64,3.83,1.09,18.04,1.64,190.24,7.11,8.2,3.28,2.73,2.19,12.03,18.04,0.55,10.93,0.55,0,1.09,0,1.64,1.09,0.55,0,0,2.19,1.09,0.55,0,0,1.64,0,14.21
