stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,12.26,0,298.31,0,0,0,0,0,0,0,0,0,0,0,12.26,118.51,24.52,208.41,0,0,0,0,28.6,600.7,0,0,20.43,0,0,0,0,0,0,12.26,0,0,0
72hpf,41.72,23.54,0,64.19,14.98,6.42,0,0,0,0,0,0,0,0,0,26.74,112.33,3.21,238.56,0,4.28,13.91,1.07,548.8,198.98,2.14,7.49,300.61,1.07,0,0,39.58,0,2.14,31.02,0,0,0
21Day,32.12,24.09,0,37.48,5.35,10.71,0,0,0,8.03,0,1.34,2.68,6.69,0,1.34,56.22,6.69,263.69,0,0,42.83,0,163.3,76.3,0,4.02,143.22,12.05,0,4.02,21.42,1.34,12.05,5.35,1.34,0,5.35
3Month,0.96,13.76,1.28,24.32,0,0,0,0.64,2.88,24.96,1.28,10.24,5.12,0,4.8,1.28,7.04,12.48,88.63,7.68,0,5.44,0.32,1.28,0.96,1.6,0.64,9.92,2.56,0.32,17.92,0.64,0,0,2.24,29.44,1.6,2.56
22Month,0.55,24.6,4.37,27.88,1.09,0,0.55,0.55,3.28,36.63,22.96,16.4,2.19,0.55,2.19,0.55,3.83,12.03,98.94,3.28,1.64,7.65,0,3.28,0.55,2.73,13.67,15.31,0.55,0,6.01,13.12,0,0,0,8.2,0,1.64
