stage,Epithelial_cell,Erythrocyte,Hepatocyte,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,0,0,0,0,12.26,0
72hpf,1.07,1.07,0,3.21,0,1.07
21Day,0,0,0,2.68,0,0
3Month,0,0,0.32,0,0,0
