stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Muscle_cell,Neural_progenitor_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,5.35,0
21Day,0,0,0,0,0,0,1.34,0,0
3Month,0,0.32,0,0,0.96,0.32,0,0,0
22Month,0.55,0,0,0.55,2.73,0.55,0,0,0.55
