stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,6.42,0,0,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,1.34,0,10.71,0,0,0,4.02,1.34,0,0,0,4.02,1.34,0,0,0,4.02,0,0,0,0,0,0,0
3Month,0.32,0,0,1.6,0,0,0,0.32,1.92,1.28,1.28,2.56,0.32,1.28,74.55,1.6,0,0,0.32,0,0.96,0,0,0,0,0.32,0.96,0,0,0.32,0.32,36.15
22Month,0,38.81,9.84,41,7.65,0.55,6.56,28.43,249.27,3.83,530.8,6.56,4.37,2.73,2190.99,127.92,6.01,9.84,3.83,1.64,0,2.19,5.47,4.92,0,4.92,7.65,4.92,2.73,0,0,346.03
