stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Spermatocyte
24hpf,4.09,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,0
3Month,0,0.64,0,0,0.32,2.56,4.8
