stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,21.4,5.35,0,5.35,0,0,1.07,236.42,3.21,3.21,0
21Day,0,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0,12.05,2.68,0,0,2.68,0,0,96.37,0,0,1.34
3Month,0.32,0.32,3.52,0,0,0,2.88,0,3.52,0.64,0.96,0,0,0,0.64,1.6,0,0.32,0,0,0.96,0,23.36,0,0.32,0
22Month,0,0,1.64,0,1.64,2.19,11.48,1.09,4.37,0,0,1.09,0.55,0.55,0,2.19,0,2.19,0,0,0.55,0,170.56,0,0.55,0.55
