stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,8.17,212.49,0,0,12.26,0,0,0,0,0,0,0
72hpf,5.35,1.07,8.56,6.42,0,0,0,0,0,0,0,0,14.98,2.14,36.37,1.07,0,286.7,37.44,0,0,42.79,0,0,14.98,3.21,1.07,0,0
21Day,0,1.34,12.05,2.68,0,0,0,0,0,0,0,0,5.35,0,32.12,0,1.34,41.49,12.05,0,0,10.71,1.34,0,8.03,1.34,2.68,0,0
3Month,0,0.64,5.44,0,0.32,0.32,0.32,0,2.24,0,1.28,0.32,7.04,0.96,4.16,0,0,0,0.32,0,0.32,0,0,0.32,0,0,0,0.96,0.32
22Month,0,0.55,2.73,0,0,0.55,0.55,0.55,11.48,0.55,0.55,0,0.55,0,1.09,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0
