stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,8.17,0,0,0,0,0,4.09,12.26,0,8.17,53.12,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,2.14,5.35,0,6.42,0,8.56,10.7,1.07,0,0,1.07,0
21Day,2.68,0,6.69,2.68,1.34,1.34,0,0,2.68,14.72,0,8.03,5.35,4.02,1.34,0,0,1.34
3Month,0,0,0.96,0,0.32,0,0.32,0.32,0,0,0,0,0,0,0,0.32,0,0
22Month,0,0,0,0,7.11,1.09,0,0,0,0.55,0.55,0,0,0,0,1.09,0,0
