stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Osteoblast,Pancreatic_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0.32,0.96,0.64,0,0.32,0.64,4.16,0.64,1.92,0.64,0.32,0,0.64,79.03,0.32,0.64,0.32
