stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,1.34,1.34,1.34,0
3Month,1.92,0.64,0.64,0.32,0.32,0,0,0,0,0,0,0,0
22Month,0.55,3.28,0,0,0,0.55,0,0,0.55,0,0,0,0.55
