stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,4.28,0,2.14,0,0,0
21Day,0,5.35,0,0,0,0,0,0,1.34,2.68,1.34,1.34,0,0
3Month,0,0.32,0,0.64,0,0,0.32,0,0,0,0,0,0,0
22Month,1.09,0.55,0.55,7.11,2.19,0.55,0.55,1.09,0,0,0,0,0.55,1.09
