stage,Epithelial_cell,Ionocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,4.09,0,0,0,0,0,0,0
72hpf,0,2.14,1.07,1.07,2.14,2.14,0,0
21Day,8.03,0,1.34,0,0,0,1.34,1.34
