stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Spermatocyte
24hpf,4.09,0,0,0,0,0,0
3Month,1.92,0.32,0,0.32,0.32,0,1.28
22Month,1.09,0,1.09,0,0,0.55,0
