stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,8.17,0,0,0,0,0,12.26,4.09,57.21,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,1.07,2.14,3.21,10.7,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,2.68,2.68,0,0,1.34,0,0
3Month,0,0,0,0,0,0.32,0,0,0,0.32,0,0.32,6.08,0,0.64
22Month,0,0,0,0,0.55,3.83,6.56,0,1.09,0,0,0,1.64,0.55,0
