stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,0,0,0,0,0,0,0,0,0,24.61,7.49,0,0,0,0,0,0,6.42,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,28.11,0,2.68,0,0,0,0,0,0,4.02,18.74,4.02,0,1.34,0,0,2.68,0,2.68,2.68,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0,33.59,0.32,0,0.32,3.2,1.28,0,12.48,1.6,2.24,28.16,2.56,1.6,0.32,0.64,0,9.92,0.64,0.96,0,1.6,0.64,0.64,4.48,0,0.32,0.32,0.32,1.28,0.96
22Month,0.55,2.19,28.43,0,0,0,3.83,0.55,0.55,17.49,0.55,1.64,5.47,2.19,0.55,0.55,0,2.19,4.92,0.55,0,0.55,1.64,0,1.09,3.83,0.55,0,0,0,0,0
