stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,4.09,4.09,24.52,0,8.17,147.11,0,4.09,0,4.09
72hpf,1.07,1.07,0,1.07,0,0,3.21,1.07,6.42,4.28,0,3.21,1.07,0
21Day,2.68,2.68,1.34,0,0,0,4.02,0,4.02,4.02,1.34,0,0,0
