stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,4.09,20.43,12.26,4.09,0,0,0,0,4.09,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,6.42,0,0,0,0,0,0,0,0,0,3.21,26.74,2.14,7.49,0,2.14,1.07,0,20.33,16.05,1.07,1.07,0,6.42,1.07,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,18.74,6.69,0,1.34,0,0,2.68,0,9.37,0,4.02,13.39,1.34,9.37,0,0,0,0,12.05,4.02,0,1.34,0,1.34,4.02,0,0,0,2.68,1.34,0,0,4.02
3Month,0.32,1.6,0.64,15.04,0,0.32,5.76,2.88,0.32,67.19,3.2,0.32,8.32,2.24,3.52,0.96,3.84,0.64,0,0.64,1.28,0.64,0,0.32,0.64,0,0,1.92,5.12,0.32,0,0,0,2.24,1.6,1.6
22Month,0,0,0.55,1.64,0,0.55,1.64,7.11,2.73,43.19,1.09,0.55,4.92,0.55,1.64,7.11,1.64,0,1.09,1.09,0,0.55,0,0.55,0.55,0.55,0.55,0,0.55,0,1.64,0,0,0.55,0,0
