stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
21Day,0,0,0,0,0,0,2.68,0,0,1.34,0,0,1.34,1.34,0,0,0,0
3Month,0.32,0.64,0.32,0,0,0.32,12.16,0.32,0.32,0.64,0,0,0,0,0.64,0.32,0.64,0.32
22Month,3.28,2.73,2.19,0.55,12.03,0,78.72,0,0,0.55,0.55,0.55,0.55,0,0,0,0,0
