stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,8.56,0,1.07,0,0,1.07,1.07,0
21Day,6.69,5.35,1.34,1.34,0,0,0,0,1.34,0,2.68,1.34,2.68,0,0,0,12.05,1.34,0,1.34,1.34,0,1.34,1.34
3Month,0,0,0,0,0.64,0,1.28,0.32,0,0,0,0.32,0,0.32,0,0.32,0,0,0.32,0,0.32,0,0,0.32
22Month,0,1.64,0,0,0,1.09,1.64,0,0,0.55,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0
