stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,13.39,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,0,0,0,0
3Month,0.64,2.88,0.96,73.91,0.32,0.96,0.32,0.64,6.08,13.76,0,66.55,52.47,2.24,27.52,16.32,47.67,21.12,2801.48,2.88,1.6,9.28,15.68,6.08,0.64,0.32,0,9.92,5.44,23.68,1.92,0,0.32,5.76,7.04,17.92
22Month,0,4.92,1.64,35.53,0,25.69,0,0,2.73,36.63,2.73,142.13,8.75,4.37,25.69,0,19.13,25.15,5422.81,1.09,7.11,2.19,1.64,4.37,1.64,2.19,1.64,0.55,2.19,9.84,30.61,51.39,0,0,0,34.44
