stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,4.09,0,0,0,16.35,0,0
72hpf,0,0,0,1.07,2.14,1.07,1.07,0
21Day,1.34,2.68,1.34,1.34,0,0,0,1.34
