stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Neurosecretory_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,2.68
3Month,0.32,0.64,0.64,0,0.32,0.32,3.52
22Month,0.55,0,2.19,0.55,0,0,2.19
