stage,Enterocyte,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,1.34,0,5.35,2.68,0,0,0
3Month,0,0.32,0,0,0.32,0.32,0,0,0.32,1.6
22Month,0.55,0.55,7.65,0,0,0.55,0,0,0.55,0
