stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,24.52,0,0,0,0,4.09,265.62,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,3.21,2.14,1.07,1.07,0,0,0,0,0,0,0,2.14,2.14,0,12.84,0,0,0,0,28.88,25.67,0,0,0,9.63,0,1.07,5.35,0,0,0,0,0
21Day,2.68,0,0,8.03,0,0,0,0,0,0,0,0,2.68,0,0,1.34,2.68,28.11,0,0,1.34,0,13.39,13.39,0,0,0,5.35,1.34,0,1.34,2.68,0,0,0,0
3Month,0.32,0.64,0.32,9.92,0.96,0,0.64,1.6,2.24,0,10.88,2.88,0.96,2.56,0.96,1.28,1.92,4.48,0.32,0,2.24,0.64,1.28,1.28,0.64,0.32,0,0.32,0.64,53.11,0,0,0.32,1.92,3.52,2.24
22Month,0,2.73,2.73,11.48,0,0,0.55,2.19,4.92,6.56,30.07,1.64,1.09,16.4,0.55,0.55,2.19,9.84,0,0.55,1.64,0,0.55,0,1.64,0,1.09,0,1.09,7.65,0,0,0,0,0,2.19
