stage,Enterocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neural_cell
72hpf,0,0,0,0,1.07,0,3.21
21Day,0,0,0,0,0,0,2.68
3Month,0.32,0,0,0,0,0.32,0
22Month,0,0.55,2.73,0.55,0.55,0.55,0
