stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,T_cell
24hpf,8.17,0,0,0,0,0,0,0,73.56,0,4.09,0
72hpf,0,1.07,0,0,0,1.07,0,25.67,10.7,1.07,1.07,0
21Day,1.34,0,0,2.68,0,1.34,2.68,4.02,0,0,1.34,0
3Month,0.32,0,0.96,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,0.55,0,0,0,0,0,0.55
