stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,54.56,0,0,2.14,2.14,1.07,0,0,0,0
21Day,0,1.34,24.09,1.34,0,0,1.34,0,20.08,0,0,0,0,0,0,0,0,0
3Month,0,0.32,11.2,0,2.24,0.32,0,0.32,0.32,0.32,0.32,0,0,0,0.64,1.92,0,3.84
22Month,0,0,1.09,0,3.28,0,1.64,0,0,0,0,0,0,0,0,0.55,0.55,0
