stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,77.63,1.34,6.69,0,0,0,4.02,1.34,1.34,6.69,5.35,2.68,36.14,0,12.05,4.02,947.68,0,9.37,0,0,0,5.35,4.02,0,5.35,1.34,2.68,2.68,0,1.34
3Month,0.32,2.88,4.48,21.76,0,0,0.32,0.96,0.96,5.44,57.59,9.92,0.64,13.44,5.12,8,4.48,3.2,0,3046.88,0.64,0.96,0,0.96,0.96,0.32,9.6,1.28,10.88,0,0,0,1.28,7.04
22Month,0.55,0,0,5.47,0,0,1.09,0,0.55,0,6.56,0.55,0,0,0,0,0,0.55,2.19,242.71,0,0,0.55,1.09,1.09,0,0,1.09,0,0,0,0,0,0.55
