stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07
3Month,0.32,0.32,0.32,0,0,0.32,0.32,0.32,0.32,10.56,0
22Month,0,1.09,0,0.55,6.56,0,0,0,0,6.01,0
