stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,237.01,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,5.35,10.7,4.28,0,0,1.07,0,0,0,0,0,3.21,26.74,0,11.77,0,0,1.07,1.07,585.18,116.61,2.14,10.7,46,0,0,27.81,0,0,0,0
21Day,4.02,0,0,12.05,9.37,6.69,0,0,0,0,6.69,0,2.68,1.34,1.34,12.05,1.34,13.39,0,0,2.68,0,219.52,65.59,0,6.69,20.08,6.69,0,18.74,1.34,9.37,0,8.03
3Month,0,0.64,0,11.84,0.96,0,0,0.96,2.24,0,6.08,1.28,0,2.56,0.96,2.24,1.28,5.44,1.28,0,0.32,0.96,8.64,0,4.48,1.28,1.6,0.64,4.48,1.28,0,0,5.12,5.76
22Month,0.55,1.09,0.55,10.39,0,0,1.09,0.55,3.83,1.09,63.41,0,2.19,6.56,0.55,2.19,6.56,2.73,0,2.73,2.19,0.55,3.83,1.09,5.47,4.37,0.55,0,17.49,3.28,0.55,0,0,12.57
