stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell
72hpf,0,0,0,0,0,0,0,17.12,2.14,0,0,1.07
21Day,0,0,0,0,0,0,0,5.35,0,0,0,0
3Month,1.28,0,0.96,0.32,0,0.64,0.32,0,0,0.32,0.32,0
22Month,0,0.55,1.09,0,0.55,0,0,0,0,0.55,0,0
