stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,16.35,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,9.63,13.91,3.21,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0
21Day,2.68,0,4.02,116.45,0,0,0,2.68,0,2.68,9.37,1.34,20.08,13.39,0,0,2.68,0,1.34,5.35,0,0,1.34,4.02,0,0,0
3Month,0,0.64,0,12.8,1.92,0,0,27.2,0.64,0.32,10.24,0.32,3.84,1.6,0.96,0,0.32,1.28,0,0,0.32,0,0,0.32,0.96,0.96,1.6
22Month,0,1.09,0.55,2.19,0,0.55,0.55,62.87,0.55,0,16.95,0.55,0.55,4.92,0,1.64,1.09,0,0,0,0,1.09,0,0,0,0,0.55
