stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,8.17,49.04,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,6.42,5.35,0,0,0,0,2.14,0,0,0
21Day,0,8.03,0,0,0,0,0,0,1.34,0,0,6.69,4.02,2.68,0,1.34,1.34,1.34,0,1.34,0,0,0,0,0
3Month,0.32,4.48,0,0.32,0.32,0,2.56,0.32,0,3.52,0.32,0.32,0.64,0.96,1.28,0.64,0,0,0.96,0,0.32,0,0.32,0.32,1.28
22Month,0,1.64,0,0,1.09,0.55,4.37,0,0.55,2.19,0,0,1.09,1.64,0,0,0,0.55,1.64,0,0,0.55,0.55,0,0
