stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,3.21,1.07,0,0,0,0,0,0,4.28,11.77,0,0,0,3.21,2.14,0,0,0,0,0
21Day,0,41.49,5.35,1.34,0,0,0,0,0,2.68,69.6,2.68,0,0,4.02,1.34,2.68,0,1.34,0,0
3Month,0,18.88,0.32,0,2.24,0.64,0,1.92,1.92,0.64,2.56,0.96,0.96,0.96,0,0,0,0,0,2.24,1.6
22Month,0.55,11.48,0,0,4.37,0.55,1.09,8.2,2.19,1.09,1.09,0.55,0,0,0,0,1.09,0.55,0,0,0
