stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,2.14,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,1.07,0,0,0,0,59.91,6.42,0,8.56,0,0,0,0,0,0,0,0
21Day,4.02,1.34,0,9.37,6.69,0,1.34,0,0,0,1.34,1.34,0,1.34,0,0,2.68,0,6.69,0,0,1.34,0,199.44,0,1.34,2.68,6.69,0,1.34,0,1.34,0,0,2.68
3Month,0,0.96,0.96,7.04,0,0.32,0,0.32,0.32,1.28,0,7.36,0,0,4.48,0.96,2.24,0.96,16,1.92,0,0.64,2.24,14.08,0.32,0,0.96,0.96,11.52,1.6,0,0.32,1.28,13.76,1.28
22Month,1.09,0.55,0,4.37,0,0,0,0,0,3.83,0,38.27,1.09,0,3.83,0.55,0,1.09,25.15,0,1.64,0,0,42.09,0,3.83,1.09,0,14.76,15.31,1.64,0,0,0,0.55
