stage,Epithelial_cell,Hatching_gland,Keratinocyte,Neural_progenitor_cell,Oocyte
24hpf,0,4.09,0,16.35,0
72hpf,2.14,0,1.07,0,0
22Month,0,0,0,0,2.19
