stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,1.34,0,1.34,9.37,0,0,5.35,0,0,0,0,0,0,0,2.68,0,0,1.34
3Month,0,0.32,0.64,8,1.92,1.6,0,17.92,1.6,0.32,16.32,2.88,0.96,2.24,0.64,0,1.92,0.64,0.32,0,1.28,1.6,0.32,1.92,0.64
22Month,0.55,3.28,1.64,9.84,2.73,1.09,1.64,59.04,0.55,0.55,71.61,1.09,3.28,3.28,0,8.2,6.01,0.55,0,0.55,4.37,0,0,0,1.09
