stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,28.6,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,3.21,0,0,0,0,0,0,0
21Day,0,2.68,2.68,0,0,1.34,0,0,0,1.34,0,0,1.34,4.02,0,0,1.34,0,0,0,0,0,0,0,0
3Month,0.64,16.32,0,0.64,2.24,17.28,2.24,0.96,0.96,22.72,0.64,0.32,0.96,0.64,0,4.16,0,0,0.96,0.32,0,0.64,0,0.32,0.64
22Month,0,3.83,0,0,0.55,7.11,8.2,0.55,0.55,1.64,0,0,0.55,0,4.92,0.55,0,0,0,0,0.55,0,0.55,0,0
