stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,12.26,8.17,0,0,0,0,0,0,0,8.17,8.17,69.47,0,0,0,12.26,359.6,0,8.17,0,0,0,0,0,0,0
72hpf,2.14,0,4.28,0,1.07,0,0,0,0,0,2.14,2.14,0,5.35,0,0,0,23.54,40.65,0,1.07,0,0,2.14,0,0,0,0
21Day,8.03,0,5.35,0,0,0,0,0,4.02,0,1.34,0,0,17.4,0,0,1.34,8.03,8.03,1.34,5.35,2.68,0,1.34,1.34,0,0,0
3Month,0,0,2.88,0,0,0,1.92,0.32,0,0.64,0.32,0.96,0.64,1.28,0.32,0,0.32,0,0.32,0,0,0,1.92,0,0,0.64,0.32,0.64
22Month,0,0.55,0,0,0,0.55,7.65,1.09,1.64,0.55,0,0,0.55,2.73,0,0.55,0.55,1.09,0,0,0,0,0,0,0,0,0,0
