stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,0,1.07,1.07,0,0,0,0
21Day,2.68,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.32,7.04,0.32,0.32,1.28,0.32,2.56,0.32,0,5.44,0.64,0.96,2.56,0,0,0.32,0.96,0.32,0,0.64,0.32,0.96,2.24
22Month,0,0.55,0,2.19,0,0,0,0.55,4.37,0.55,0.55,4.92,0,0,0,0.55,0,0,0,0,0,0,0,0,0
