stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell
24hpf,0,0,0,0,8.17,0,0,0,0,0
21Day,4.02,0,0,4.02,2.68,0,1.34,1.34,0,0
3Month,6.08,1.28,0.32,0,0.96,0.32,0.32,0.32,0.32,0.96
