stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,1.07,2.14,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,4.02,0,0,0,0,0,0
3Month,0,0,0.96,0,0,0,0,0.32,0.32,0,1.28,0.64,0.32,0.64,0,0,0,0.32,0,0,0.32,0,0.32,0.64,1.28
22Month,1.09,1.09,3.28,0,0.55,1.64,1.09,25.15,1.09,0.55,3.83,0,0.55,3.28,1.09,0.55,1.09,0,0,0,0,0,0,1.64,0
