stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Mt_rich_cell,Neural_cell,Osteoblast,Retinal_cell
72hpf,1.07,0,0,0,16.05,1.07,0
21Day,0,0,0,0,2.68,0,1.34
22Month,0,0.55,2.19,0.55,0,0,0
