stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,57.21,0,0,0,0,0,0,147.11,0,0,0,0,16.35,167.54,0,8.17,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,86.65,0,2.14,0,0,1.07,0,2.14,0,0,0,0,9.63,572.34,1.07,3.21,0,0,0,44.93,18.19,0,0,0,7.49,0,0,2.14,0,0,0,0,0
21Day,4.02,0,41.49,451.09,0,14.72,0,1.34,1.34,0,0,2.68,0,2.68,14.72,10.71,286.45,4.02,17.4,0,2.68,0,20.08,6.69,1.34,0,0,9.37,13.39,0,2.68,0,2.68,0,0,1.34
3Month,0,0.64,9.6,187.49,0.32,0,1.92,0,16.64,0.96,0,4.16,1.28,0.32,22.08,9.28,16.64,2.88,1.6,0,1.92,0.64,1.6,0,0.32,0,0,0,0.96,3.52,0,0,0,0.64,2.24,1.92
22Month,0,0.55,5.47,78.72,0,0,0,0,11.48,4.37,0,15.85,1.09,0,32.25,4.92,13.67,1.09,1.09,0.55,1.64,0,2.73,0,0,0.55,1.09,0,0.55,1.09,0,1.09,0,0.55,0,0.55
