stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,20.43,16.35,4.09,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,4.28,0,1.07,0,0,7.49,0,0,1.07,0,0,1.07,0,0
21Day,0,0,1.34,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0,2.68,0,0,0
3Month,0,0.32,4.16,0.32,0.64,1.28,0.64,0,0.32,0.96,0.96,0.64,0.32,0,0,0,0,0.64,58.87,0,0.64,5.44
22Month,0,0,0,0.55,2.73,2.73,0,0.55,0,0.55,0.55,0,0,0,0,2.19,0,0,31.16,0,0,0
