stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,T_cell
24hpf,0,8.17,0,0,0,0,0,0,0,4.09,4.09,0,4.09,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,2.14,1.07,0,1.07,92,8.56,5.35,1.07,0
21Day,1.34,0,1.34,0,0,0,0,0,12.05,0,0,0,20.08,0,1.34,0,2.68
3Month,0,0,0,0,0,0.96,0,2.24,0.32,0,0.96,0,0,0,0,0,0.32
22Month,0,0,1.09,0,0.55,4.37,2.73,1.09,2.19,0,3.83,0.55,0.55,0,0,0.55,1.09
