stage,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0
21Day,0,1.34,0,0,9.37,0,0,0,0,0
3Month,15.36,0,0.32,0.32,0.64,0.32,0.32,0,1.28,0.32
22Month,0.55,0,0,0,0,0,0,0.55,0,0
