stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,1.34,0,5.35,0,0,0,0,0,0,0,1.34,2.68,0,2.68,9.37,4.02,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.96,0.96,11.52,0.64,0,5.76,4.16,0,21.44,1.6,0.64,32.95,0.32,5.76,19.2,4.16,0.64,0,0.32,0.64,0.32,1.28,0.32,0,0,0.64,1.28,0.32,0.32,0.32,0.32,1.6
22Month,1.64,2.73,7.11,0,1.09,2.73,2.19,1.09,42.09,0.55,1.64,45.37,1.09,1.64,10.93,7.65,1.09,1.09,1.64,0,0,0,0,0.55,0,0.55,0.55,0.55,0,2.19,0,1.09
